channel,landing_page_views,cta_clicks,demo_attempts,feedback_responses,signups_or_testers,notes
Pruksa Ville Friends Group,15,11,7,5,5,Apartment/friend group - highest conversion; close friends did the job
Plum 89 Friends Group,7,6,5,5,5,Apartment/friend group - highest conversion; close friends did the job
Facebook Story,192,12,3,2,2,High reach but low intent - hard to find the right audience
Instagram Story,116,4,2,0,0,High reach but lowest intent - hard to find the right audience
TOTAL,330,33,17,12,12,4 channels; AM-02 CTA click rate 10.0%; AM-03 demo rate 5.2%; AM-05 interest conversion 3.6%
